x,t,S_0,V_0,E_0,I_0,R_0,S,V,E,I,R
-3,0,0.008715436,0.001013423,0,4.94E-06,0,0.008715436,0.001013423,0,4.94E-06,0
-2.9,0,0.011776618,0.001369374,0,8.91E-06,0,0.011776618,0.001369374,0,8.91E-06,0
-2.8,0,0.015751449,0.001831564,0,1.57E-05,0,0.015751449,0.001831564,0,1.57E-05,0
-2.7,0,0.020853976,0.002424881,0,2.73E-05,0,0.020853976,0.002424881,0,2.73E-05,0
-2.6,0,0.02732912,0.003177805,0,4.64E-05,0,0.02732912,0.003177805,0,4.64E-05,0
-2.5,0,0.035451192,0.004122232,0,7.72E-05,0,0.035451192,0.004122232,0,7.72E-05,0
-2.4,0,0.045520232,0.00529305,0,0.000126044,0,0.045520232,0.00529305,0,0.000126044,0
-2.3,0,0.057855747,0.006727412,0,0.00020167,0,0.057855747,0.006727412,0,0.00020167,0
-2.2,0,0.072787529,0.008463666,0,0.000316282,0,0.072787529,0.008463666,0,0.000316282,0
-2.1,0,0.090643333,0.010539922,0,0.000486207,0,0.090643333,0.010539922,0,0.000486207,0
-2,0,0.111733443,0.012992261,0,0.000732626,0,0.111733443,0.012992261,0,0.000732626,0
-1.9,0,0.13633235,0.015852599,0,0.001082074,0,0.13633235,0.015852599,0,0.001082074,0
-1.8,0,0.164658094,0.01914629,0,0.001566556,0,0.164658094,0.01914629,0,0.001566556,0
-1.7,0,0.196850113,0.022889548,0,0.002223049,0,0.196850113,0.022889548,0,0.002223049,0
-1.6,0,0.232946762,0.027086833,0,0.00309219,0,0.232946762,0.027086833,0,0.00309219,0
-1.5,0,0.272863919,0.031728363,0,0.004215969,0,0.272863919,0.031728363,0,0.004215969,0
-1.4,0,0.316376319,0.036787944,0,0.005634337,0,0.316376319,0.036787944,0,0.005634337,0
-1.3,0,0.363103345,0.042221319,0,0.007380781,0,0.363103345,0.042221319,0,0.007380781,0
-1.2,0,0.412500951,0.047965227,0,0.00947711,0,0.412500951,0.047965227,0,0.00947711,0
-1.1,0,0.463861238,0.053937353,0,0.011927891,0,0.463861238,0.053937353,0,0.011927891,0
-1,0,0.516320815,0.060037304,0,0.014715178,0,0.516320815,0.060037304,0,0.014715178,0
-0.9,0,0.568878616,0.066148676,0,0.017794323,0,0.568878616,0.066148676,0,0.017794323,0
-0.8,0,0.62042317,0.072142229,0,0.021091697,0,0.62042317,0.072142229,0,0.021091697,0
-0.7,0,0.669768673,0.077880078,0,0.024505056,0,0.669768673,0.077880078,0,0.024505056,0
-0.6,0,0.715698451,0.08322075,0,0.027907053,0,0.715698451,0.08322075,0,0.027907053,0
-0.5,0,0.757013713,0.08802485,0,0.031152031,0,0.757013713,0.08802485,0,0.031152031,0
-0.4,0,0.792584985,0.092161045,0,0.034085752,0,0.792584985,0.092161045,0,0.034085752,0
-0.3,0,0.821403138,0.095511993,0,0.036557247,0,0.821403138,0.095511993,0,0.036557247,0
-0.2,0,0.84262686,0.097979867,0,0.038431578,0,0.84262686,0.097979867,0,0.038431578,0
-0.1,0,0.855623419,0.099491095,0,0.039601993,0,0.855623419,0.099491095,0,0.039601993,0
0,0,0.86,0.1,0,0.04,0,0.86,0.1,0,0.04,0
0.1,0,0.855623419,0.099491095,0,0.039601993,0,0.855623419,0.099491095,0,0.039601993,0
0.2,0,0.84262686,0.097979867,0,0.038431578,0,0.84262686,0.097979867,0,0.038431578,0
0.3,0,0.821403138,0.095511993,0,0.036557247,0,0.821403138,0.095511993,0,0.036557247,0
0.4,0,0.792584985,0.092161045,0,0.034085752,0,0.792584985,0.092161045,0,0.034085752,0
0.5,0,0.757013713,0.08802485,0,0.031152031,0,0.757013713,0.08802485,0,0.031152031,0
0.6,0,0.715698451,0.08322075,0,0.027907053,0,0.715698451,0.08322075,0,0.027907053,0
0.7,0,0.669768673,0.077880078,0,0.024505056,0,0.669768673,0.077880078,0,0.024505056,0
0.8,0,0.62042317,0.072142229,0,0.021091697,0,0.62042317,0.072142229,0,0.021091697,0
0.9,0,0.568878616,0.066148676,0,0.017794323,0,0.568878616,0.066148676,0,0.017794323,0
1,0,0.516320815,0.060037304,0,0.014715178,0,0.516320815,0.060037304,0,0.014715178,0
1.1,0,0.463861238,0.053937353,0,0.011927891,0,0.463861238,0.053937353,0,0.011927891,0
1.2,0,0.412500951,0.047965227,0,0.00947711,0,0.412500951,0.047965227,0,0.00947711,0
1.3,0,0.363103345,0.042221319,0,0.007380781,0,0.363103345,0.042221319,0,0.007380781,0
1.4,0,0.316376319,0.036787944,0,0.005634337,0,0.316376319,0.036787944,0,0.005634337,0
1.5,0,0.272863919,0.031728363,0,0.004215969,0,0.272863919,0.031728363,0,0.004215969,0
1.6,0,0.232946762,0.027086833,0,0.00309219,0,0.232946762,0.027086833,0,0.00309219,0
1.7,0,0.196850113,0.022889548,0,0.002223049,0,0.196850113,0.022889548,0,0.002223049,0
1.8,0,0.164658094,0.01914629,0,0.001566556,0,0.164658094,0.01914629,0,0.001566556,0
1.9,0,0.13633235,0.015852599,0,0.001082074,0,0.13633235,0.015852599,0,0.001082074,0
2,0,0.111733443,0.012992261,0,0.000732626,0,0.111733443,0.012992261,0,0.000732626,0
2.1,0,0.090643333,0.010539922,0,0.000486207,0,0.090643333,0.010539922,0,0.000486207,0
2.2,0,0.072787529,0.008463666,0,0.000316282,0,0.072787529,0.008463666,0,0.000316282,0
2.3,0,0.057855747,0.006727412,0,0.00020167,0,0.057855747,0.006727412,0,0.00020167,0
2.4,0,0.045520232,0.00529305,0,0.000126044,0,0.045520232,0.00529305,0,0.000126044,0
