x,t,S_0,V_0,E_0,I_0,R_0,S,V,E,I,R
-3,0,0.008715436,0.001013423,0,4.94E-06,0,0.008715436,0.001013423,0,4.94E-06,0
-2.684210526,0,0.021778409,0.002532373,0,2.97E-05,0,0.021778409,0.002532373,0,2.97E-05,0
-2.368421053,0,0.049155281,0.00571573,0,0.000146528,0,0.049155281,0.00571573,0,0.000146528,0
-2.052631579,0,0.100212343,0.011652598,0,0.0005919,0,0.100212343,0.011652598,0,0.0005919,0
-1.736842105,0,0.184535212,0.021457583,0,0.001958657,0,0.184535212,0.021457583,0,0.001958657,0
-1.421052632,0,0.306933488,0.03568994,0,0.005309453,0,0.306933488,0.03568994,0,0.005309453,0
-1.105263158,0,0.46112248,0.053618893,0,0.011790249,0,0.46112248,0.053618893,0,0.011790249,0
-0.789473684,0,0.625742006,0.072760698,0,0.021447557,0,0.625742006,0.072760698,0,0.021447557,0
-0.473684211,0,0.766975198,0.089183163,0,0.031960563,0,0.766975198,0.089183163,0,0.031960563,0
-0.157894737,0,0.849130275,0.098736079,0,0.039015098,0,0.849130275,0.098736079,0,0.039015098,0
0.157894737,0,0.849130275,0.098736079,0,0.039015098,0,0.849130275,0.098736079,0,0.039015098,0
0.473684211,0,0.766975198,0.089183163,0,0.031960563,0,0.766975198,0.089183163,0,0.031960563,0
0.789473684,0,0.625742006,0.072760698,0,0.021447557,0,0.625742006,0.072760698,0,0.021447557,0
1.105263158,0,0.46112248,0.053618893,0,0.011790249,0,0.46112248,0.053618893,0,0.011790249,0
1.421052632,0,0.306933488,0.03568994,0,0.005309453,0,0.306933488,0.03568994,0,0.005309453,0
1.736842105,0,0.184535212,0.021457583,0,0.001958657,0,0.184535212,0.021457583,0,0.001958657,0
2.052631579,0,0.100212343,0.011652598,0,0.0005919,0,0.100212343,0.011652598,0,0.0005919,0
2.368421053,0,0.049155281,0.00571573,0,0.000146528,0,0.049155281,0.00571573,0,0.000146528,0
2.684210526,0,0.021778409,0.002532373,0,2.97E-05,0,0.021778409,0.002532373,0,2.97E-05,0
3,0,0.008715436,0.001013423,0,4.94E-06,0,0.008715436,0.001013423,0,4.94E-06,0
-3,6,0.008715436,0.001013423,0,4.94E-06,0,0.008454141,0.001012979,1.03E-07,2.11E-06,4.17E-06
-2.684210526,6,0.021778409,0.002532373,0,2.97E-05,0,0.021124431,0.002531151,1.44E-06,1.35E-05,2.30E-05
-2.368421053,6,0.049155281,0.00571573,0,0.000146528,0,0.047667423,0.0057117,1.65E-05,7.01E-05,0.000115852
-2.052631579,6,0.100212343,0.011652598,0,0.0005919,0,0.097076278,0.011633297,0.000149178,0.000368972,0.000503049
-1.736842105,6,0.184535212,0.021457583,0,0.001958657,0,0.17805832,0.021346313,0.001062848,0.001774442,0.001888625
-1.421052632,6,0.306933488,0.03568994,0,0.005309453,0,0.292423301,0.035101374,0.005958058,0.007505685,0.006152802
-1.105263158,6,0.46112248,0.053618893,0,0.011790249,0,0.424515656,0.051132249,0.025534914,0.026344558,0.017115802
-0.789473684,6,0.625742006,0.072760698,0,0.021447557,0,0.536176606,0.065046743,0.079307646,0.071795378,0.039129806
-0.473684211,6,0.766975198,0.089183163,0,0.031960563,0,0.592502312,0.072628686,0.169661863,0.143268348,0.070037073
-0.157894737,6,0.849130275,0.098736079,0,0.039015098,0,0.60360664,0.07460796,0.246532173,0.202936706,0.09449441
0.157894737,6,0.849130275,0.098736079,0,0.039015098,0,0.60360664,0.07460796,0.246532173,0.202936706,0.09449441
0.473684211,6,0.766975198,0.089183163,0,0.031960563,0,0.592502312,0.072628686,0.169661863,0.143268348,0.070037073
0.789473684,6,0.625742006,0.072760698,0,0.021447557,0,0.536176606,0.065046743,0.079307646,0.071795378,0.039129806
1.105263158,6,0.46112248,0.053618893,0,0.011790249,0,0.424515656,0.051132249,0.025534914,0.026344558,0.017115802
1.421052632,6,0.306933488,0.03568994,0,0.005309453,0,0.292423301,0.035101374,0.005958058,0.007505685,0.006152802
1.736842105,6,0.184535212,0.021457583,0,0.001958657,0,0.17805832,0.021346313,0.001062848,0.001774442,0.001888625
2.052631579,6,0.100212343,0.011652598,0,0.0005919,0,0.097076278,0.011633297,0.000149178,0.000368972,0.000503049
2.368421053,6,0.049155281,0.00571573,0,0.000146528,0,0.047667423,0.0057117,1.65E-05,7.01E-05,0.000115852
2.684210526,6,0.021778409,0.002532373,0,2.97E-05,0,0.021124431,0.002531151,1.44E-06,1.35E-05,2.30E-05
3,6,0.008715436,0.001013423,0,4.94E-06,0,0.008454141,0.001012979,1.03E-07,2.11E-06,4.17E-06
-3,12,0.008715436,0.001013423,0,4.94E-06,0,0.00820075,0.001012543,1.26E-07,-5.99E-07,5.00E-06
-2.684210526,12,0.021778409,0.002532373,0,2.97E-05,0,0.020490294,0.002529952,2.60E-06,2.40E-05,4.16E-05
-2.368421053,12,0.049155281,0.00571573,0,0.000146528,0,0.046228504,0.005708107,2.81E-05,6.99E-05,0.000193441
-2.052631579,12,0.100212343,0.011652598,0,0.0005919,0,0.094018882,0.011611864,0.000315724,0.000589258,0.001035053
-1.736842105,12,0.184535212,0.021457583,0,0.001958657,0,0.170935648,0.02113847,0.003070928,0.004575505,0.005306198
-1.421052632,12,0.306933488,0.03568994,0,0.005309453,0,0.26705753,0.033232657,0.024613388,0.0303623,0.025418992
-1.105263158,12,0.46112248,0.053618893,0,0.011790249,0,0.312183482,0.039835201,0.137595037,0.151475909,0.103525748
-0.789473684,12,0.625742006,0.072760698,0,0.021447557,0,0.217764701,0.02969923,0.420894719,0.476490826,0.308755624
-0.473684211,12,0.766975198,0.089183163,0,0.031960563,0,0.100468743,0.015108551,0.708649734,0.900866879,0.613774715
-0.157894737,12,0.849130275,0.098736079,0,0.039015098,0,0.054227973,0.008762286,0.852588385,1.173408477,0.8413538
0.157894737,12,0.849130275,0.098736079,0,0.039015098,0,0.054227973,0.008762286,0.852588385,1.173408477,0.8413538
0.473684211,12,0.766975198,0.089183163,0,0.031960563,0,0.100468743,0.015108551,0.708649734,0.900866879,0.613774715
0.789473684,12,0.625742006,0.072760698,0,0.021447557,0,0.217764701,0.02969923,0.420894719,0.476490826,0.308755624
1.105263158,12,0.46112248,0.053618893,0,0.011790249,0,0.312183482,0.039835201,0.137595037,0.151475909,0.103525748
1.421052632,12,0.306933488,0.03568994,0,0.005309453,0,0.26705753,0.033232657,0.024613388,0.0303623,0.025418992
1.736842105,12,0.184535212,0.021457583,0,0.001958657,0,0.170935648,0.02113847,0.003070928,0.004575505,0.005306198
2.052631579,12,0.100212343,0.011652598,0,0.0005919,0,0.094018882,0.011611864,0.000315724,0.000589258,0.001035053
2.368421053,12,0.049155281,0.00571573,0,0.000146528,0,0.046228504,0.005708107,2.81E-05,6.99E-05,0.000193441
2.684210526,12,0.021778409,0.002532373,0,2.97E-05,0,0.020490294,0.002529952,2.60E-06,2.40E-05,4.16E-05
3,12,0.008715436,0.001013423,0,4.94E-06,0,0.00820075,0.001012543,1.26E-07,-5.99E-07,5.00E-06
-3,18,0.008715436,0.001013423,0,4.94E-06,0,0.007955013,0.001012114,7.94E-08,-2.47E-06,2.87E-06
-2.684210526,18,0.021778409,0.002532373,0,2.97E-05,0,0.019872784,0.002528477,6.44E-06,0.000104989,0.000106079
-2.368421053,18,0.049155281,0.00571573,0,0.000146528,0,0.044830596,0.005704238,4.22E-05,9.52E-05,0.00028694
-2.052631579,18,0.100212343,0.011652598,0,0.0005919,0,0.090935538,0.011576466,0.000615378,0.00114451,0.002010626
-1.736842105,18,0.184535212,0.021457583,0,0.001958657,0,0.161052047,0.020582644,0.008439359,0.013196843,0.014896171
-1.421052632,18,0.306933488,0.03568994,0,0.005309453,0,0.203925283,0.026782566,0.086876442,0.116316375,0.102538236
-1.105263158,18,0.46112248,0.053618893,0,0.011790249,0,0.090338407,0.013405757,0.3797435,0.548778981,0.492752105
-0.789473684,18,0.625742006,0.072760698,0,0.021447557,0,0.010017932,0.001909708,0.653965629,1.180960986,1.311117345
-0.473684211,18,0.766975198,0.089183163,0,0.031960563,0,0.000855414,0.000212841,0.822406414,1.666927169,2.196557851
-0.157894737,18,0.849130275,0.098736079,0,0.039015098,0,0.000181391,5.32E-05,0.91500868,1.927276621,2.74898444
0.157894737,18,0.849130275,0.098736079,0,0.039015098,0,0.000181391,5.32E-05,0.91500868,1.927276621,2.74898444
0.473684211,18,0.766975198,0.089183163,0,0.031960563,0,0.000855414,0.000212841,0.822406414,1.666927169,2.196557851
0.789473684,18,0.625742006,0.072760698,0,0.021447557,0,0.010017932,0.001909708,0.653965629,1.180960986,1.311117345
1.105263158,18,0.46112248,0.053618893,0,0.011790249,0,0.090338407,0.013405757,0.3797435,0.548778981,0.492752105
1.421052632,18,0.306933488,0.03568994,0,0.005309453,0,0.203925283,0.026782566,0.086876442,0.116316375,0.102538236
1.736842105,18,0.184535212,0.021457583,0,0.001958657,0,0.161052047,0.020582644,0.008439359,0.013196843,0.014896171
2.052631579,18,0.100212343,0.011652598,0,0.0005919,0,0.090935538,0.011576466,0.000615378,0.00114451,0.002010626
2.368421053,18,0.049155281,0.00571573,0,0.000146528,0,0.044830596,0.005704238,4.22E-05,9.52E-05,0.00028694
2.684210526,18,0.021778409,0.002532373,0,2.97E-05,0,0.019872784,0.002528477,6.44E-06,0.000104989,0.000106079
3,18,0.008715436,0.001013423,0,4.94E-06,0,0.007955013,0.001012114,7.94E-08,-2.47E-06,2.87E-06
-3,24,0.008715436,0.001013423,0,4.94E-06,0,0.007716674,0.001011689,-3.83E-09,-5.44E-06,-8.69E-07
-2.684210526,24,0.021778409,0.002532373,0,2.97E-05,0,0.019264624,0.002525911,2.07E-05,0.000335329,0.000352763
-2.368421053,24,0.049155281,0.00571573,0,0.000146528,0,0.043470264,0.005699818,6.11E-05,0.00012951,0.0004157
-2.052631579,24,0.100212343,0.011652598,0,0.0005919,0,0.087699613,0.01151121,0.001193195,0.002354202,0.003960478
-1.736842105,24,0.184535212,0.021457583,0,0.001958657,0,0.143677588,0.01908047,0.022643218,0.0378702,0.042711001
-1.421052632,24,0.306933488,0.03568994,0,0.005309453,0,0.092573648,0.013516835,0.206927513,0.323460606,0.351275552
-1.105263158,24,0.46112248,0.053618893,0,0.011790249,0,0.005772167,0.001158573,0.475518487,0.954329624,1.403451719
-0.789473684,24,0.625742006,0.072760698,0,0.021447557,0,8.39E-05,2.65E-05,0.665715114,1.509745098,2.926918565
-0.473684211,24,0.766975198,0.089183163,0,0.031960563,0,1.61E-06,7.62E-07,0.823467964,1.933053014,4.333869534
-0.157894737,24,0.849130275,0.098736079,0,0.039015098,0,1.51E-07,9.16E-08,0.915242268,2.170241435,5.170847961
0.157894737,24,0.849130275,0.098736079,0,0.039015098,0,1.51E-07,9.16E-08,0.915242268,2.170241435,5.170847961
0.473684211,24,0.766975198,0.089183163,0,0.031960563,0,1.61E-06,7.62E-07,0.823467964,1.933053014,4.333869534
0.789473684,24,0.625742006,0.072760698,0,0.021447557,0,8.39E-05,2.65E-05,0.665715114,1.509745098,2.926918565
1.105263158,24,0.46112248,0.053618893,0,0.011790249,0,0.005772167,0.001158573,0.475518487,0.954329624,1.403451719
1.421052632,24,0.306933488,0.03568994,0,0.005309453,0,0.092573648,0.013516835,0.206927513,0.323460606,0.351275552
1.736842105,24,0.184535212,0.021457583,0,0.001958657,0,0.143677588,0.01908047,0.022643218,0.0378702,0.042711001
2.052631579,24,0.100212343,0.011652598,0,0.0005919,0,0.087699613,0.01151121,0.001193195,0.002354202,0.003960478
2.368421053,24,0.049155281,0.00571573,0,0.000146528,0,0.043470264,0.005699818,6.11E-05,0.00012951,0.0004157
2.684210526,24,0.021778409,0.002532373,0,2.97E-05,0,0.019264624,0.002525911,2.07E-05,0.000335329,0.000352763
3,24,0.008715436,0.001013423,0,4.94E-06,0,0.007716674,0.001011689,-3.83E-09,-5.44E-06,-8.69E-07
-3,30,0.008715436,0.001013423,0,4.94E-06,0,0.007485958,0.001011323,-6.30E-07,-6.07E-05,-2.94E-05
-2.684210526,30,0.021778409,0.002532373,0,2.97E-05,0,0.01866128,0.00252167,5.02E-05,0.000486378,0.000873703
-2.368421053,30,0.049155281,0.00571573,0,0.000146528,0,0.042146081,0.005694778,8.54E-05,0.000162942,0.000582846
-2.052631579,30,0.100212343,0.011652598,0,0.0005919,0,0.084010415,0.011377065,0.002397411,0.005392667,0.008231864
-1.736842105,30,0.184535212,0.021457583,0,0.001958657,0,0.11160003,0.015615085,0.054251806,0.094182033,0.11694713
-1.421052632,30,0.306933488,0.03568994,0,0.005309453,0,0.018459911,0.003253471,0.289808233,0.564367318,0.880565548
-1.105263158,30,0.46112248,0.053618893,0,0.011790249,0,0.000149872,4.45E-05,0.482206125,1.123708082,2.635176308
-0.789473684,30,0.625742006,0.072760698,0,0.021447557,0,4.15E-07,2.19E-07,0.66582444,1.6140493,4.749604883
-0.473684211,30,0.766975198,0.089183163,0,0.031960563,0,-1.09E-09,1.93E-09,0.823470328,2.014214963,6.620883424
-0.157894737,30,0.849130275,0.098736079,0,0.039015098,0,1.31E-09,-6.44E-11,0.915242509,2.243846727,7.721046491
0.157894737,30,0.849130275,0.098736079,0,0.039015098,0,1.31E-09,-6.44E-11,0.915242509,2.243846727,7.721046491
