"x","SVEIR_Synth_Data","Out_SVEIR_t0","Out_SVEIR_t6","Out_SVEIR_t12","Out_SVEIR_t18","Out_SVEIR_t24","Out_SVEIR_t30","Out_SVEIR_t36","Out_SVEIR_t42","Out_SVEIR_t48","Out_SVEIR_t54","Out_SVEIR_t60"
-3,0.00871543554807774,0.00871543554807774,0.00645603010750935,0.00478238613322059,0.00354262228315377,0.00262425114848116,0.00194395398532744,0.00144001326293782,0.0010667112820925,0.000790182054527776,0.000585338854597164,0.000433600220474359
-2.9,0.011776618264831,0.011776618264831,0.00872357942515703,0.0064620890735314,0.00478687958775452,0.00354594834358879,0.00262671099276873,0.0019457723932413,0.00144135711815328,0.00106770423255974,0.000790915667888477,0.000585883509409109
-2.8,0.0157514494443114,0.0157514494443114,0.0116677970457271,0.00864299695563809,0.00640238540713255,0.0047426335563792,0.00351315328878579,0.00260240110617902,0.00192775095140198,0.00142799659391976,0.00105779867289165,0.000783574877213755
-2.7,0.0208539761801183,0.0208539761801183,0.0154471054143964,0.0114424014356579,0.00847598042202275,0.00627859699980787,0.00465087124585738,0.00344512361046238,0.00255196086247804,0.00189034863718006,0.00140025955569059,0.00103723209254447
-2.6,0.0273291199190486,0.0273291199190486,0.0202426307011997,0.0149943249557932,0.011106823315026,0.00822718217720265,0.00609409508823534,0.00451402242139252,0.00334360046146478,0.00247662994004359,0.00183444157909812,0.00135876576425356
-2.5,0.0354511920640582,0.0354511920640582,0.0262569506570804,0.0194484781146083,0.0144054975121171,0.0106699971154667,0.00790298299307907,0.00585338796298098,0.00433523218420483,0.00321074346819395,0.00237786111163759,0.00176098789453487
-2.4,0.0455202316621295,0.0455202316621295,0.0337110900144276,0.0249677769523648,0.0184918693200085,0.0136949866195071,0.0101418314041086,0.00751002766747918,0.00556075981129418,0.00411710001241667,0.00304796936667532,0.00225626877602862
-2.3,0.0578557473226357,0.0578557473226357,0.0428393539051137,0.0317239492768087,0.0234910898317046,0.0173925693869821,0.0128752002481036,0.00952932092990944,0.00705141703987049,0.00521658332219746,0.00385815837707023,0.00285265613048595
-2.2,0.072787528895353,0.072787528895353,0.0538815895216022,0.039890583329469,0.0295266628643953,0.0218481698661739,0.0161595920621577,0.0119459469821747,0.00882562431195132,0.00651575085007924,0.00480661120104316,0.00354272203929615
-2.1,0.0906433331232033,0.0906433331232033,0.067072480227333,0.0496326448332044,0.0367085152760842,0.0271274860856304,0.0200250551324801,0.0147615404133414,0.0108630077562895,0.00797807351356143,0.0058460267591823,0.0042732060058677
-2,0.111733443142351,0.111733443142351,0.0826275061472063,0.061090897311929,0.0451120236176929,0.033246536693392,0.0244337260027218,0.0178909821648828,0.0130399722527437,0.00945260019364762,0.00681065428099675,0.00487582228893638
-1.9,0.136332349988948,0.136332349988948,0.100725258684998,0.074358666000108,0.054740250125358,0.0401101322161672,0.029188292714808,0.0210414481152985,0.0149893887420938,0.0105322876068984,0.00729310529107011,0.00497742180872392
-1.8,0.164658093723687,0.164658093723687,0.121485902112162,0.0894469055317311,0.0654556221833375,0.0473894821540148,0.0337480033537759,0.0234892395857471,0.0158940600369884,0.0104294886414128,0.00664183143737816,0.00411762216650858
-1.7,0.196850113373711,0.196850113373711,0.14494580303563,0.106231801294108,0.0768603186540528,0.0543033790196288,0.0369441968952247,0.0238727883956509,0.0145414312481461,0.00836388949292062,0.00458219259079015,0.00241765126118716
